orderid,CustomerId,EmployeeId,orderdate,freight
10248,85,5,2014-07-04,32.38
10249,79,6,2014-07-05,11.61
10250,34,4,2014-07-08,65.83
10251,84,3,2014-07-08,41.34
10252,76,4,2014-07-09,51.30
10253,34,3,2014-07-10,58.17
10254,14,5,2014-07-11,22.98
10255,68,9,2014-07-12,148.33
10256,88,3,2014-07-15,13.97
10257,35,4,2014-07-16,81.91
10258,20,1,2014-07-17,140.51
10259,13,4,2014-07-18,3.25
10260,56,4,2014-07-19,55.09
10261,61,4,2014-07-19,3.05
10262,65,8,2014-07-22,48.29
10263,20,9,2014-07-23,146.06
10264,24,6,2014-07-24,3.67
10265,7,2,2014-07-25,55.28
10266,87,3,2014-07-26,25.73
10267,25,4,2014-07-29,208.58
10268,33,8,2014-07-30,66.29
10269,89,5,2014-07-31,4.56
10270,87,1,2014-08-01,136.54
10271,75,6,2014-08-01,4.54
10272,65,6,2014-08-02,98.03
10273,63,3,2014-08-05,76.07
10274,85,6,2014-08-06,6.01
10275,49,1,2014-08-07,26.93
10276,80,8,2014-08-08,13.84
10277,52,2,2014-08-09,125.77
10278,5,8,2014-08-12,92.69
10279,44,8,2014-08-13,25.83
10280,5,2,2014-08-14,8.98
10281,69,4,2014-08-14,2.94
10282,69,4,2014-08-15,12.69
10283,46,3,2014-08-16,84.81
10284,44,4,2014-08-19,76.56
10285,63,1,2014-08-20,76.83
10286,63,8,2014-08-21,229.24
10287,67,8,2014-08-22,12.76
10288,66,4,2014-08-23,7.45
10289,11,7,2014-08-26,22.77
10290,15,8,2014-08-27,79.70
10291,61,6,2014-08-27,6.40
10292,81,1,2014-08-28,1.35
10293,80,1,2014-08-29,21.18
10294,65,4,2014-08-30,147.26
10295,85,2,2014-09-02,1.15
10296,46,6,2014-09-03,0.12
10297,7,5,2014-09-04,5.74
10298,37,6,2014-09-05,168.22
10299,67,4,2014-09-06,29.76
10300,49,2,2014-09-09,17.68
10301,86,8,2014-09-09,45.08
10302,76,4,2014-09-10,6.27
10303,30,7,2014-09-11,107.83
10304,80,1,2014-09-12,63.79
10305,55,8,2014-09-13,257.62
10306,69,1,2014-09-16,7.56
10307,48,2,2014-09-17,0.56
10308,2,7,2014-09-18,1.61
10309,37,3,2014-09-19,47.30
10310,77,8,2014-09-20,17.52
10311,18,1,2014-09-20,24.69
10312,86,2,2014-09-23,40.26
10313,63,2,2014-09-24,1.96
10314,65,1,2014-09-25,74.16
10315,38,4,2014-09-26,41.76
10316,65,1,2014-09-27,150.15
10317,48,6,2014-09-30,12.69
10318,38,8,2014-10-01,4.73
10319,80,7,2014-10-02,64.50
10320,87,5,2014-10-03,34.57
10321,38,3,2014-10-03,3.43
10322,58,7,2014-10-04,0.40
10323,39,4,2014-10-07,4.88
10324,71,9,2014-10-08,214.27
10325,39,1,2014-10-09,64.86
10326,8,4,2014-10-10,77.92
10327,24,2,2014-10-11,63.36
10328,28,4,2014-10-14,87.03
10329,75,4,2014-10-15,191.67
10330,46,3,2014-10-16,12.75
10331,9,9,2014-10-16,10.19
10332,51,3,2014-10-17,52.84
10333,87,5,2014-10-18,0.59
10334,84,8,2014-10-21,8.56
10335,37,7,2014-10-22,42.11
10336,60,7,2014-10-23,15.51
10337,25,4,2014-10-24,108.26
10338,55,4,2014-10-25,84.21
10339,51,2,2014-10-28,15.66
10340,9,1,2014-10-29,166.31
10341,73,7,2014-10-29,26.78
10342,25,4,2014-10-30,54.83
10343,44,4,2014-10-31,110.37
10344,89,4,2014-11-01,23.29
10345,63,2,2014-11-04,249.06
10346,65,3,2014-11-05,142.08
10347,21,4,2014-11-06,3.10
10348,86,4,2014-11-07,0.78
10349,75,7,2014-11-08,8.63
10350,41,6,2014-11-11,64.19
10351,20,1,2014-11-11,162.33
10352,28,3,2014-11-12,1.30
10353,59,7,2014-11-13,360.63
