orderid,EmployeeId,orderdate,freight
10324,9,2014-10-08,214.27
10393,1,2014-12-25,126.56
10398,2,2014-12-30,89.16
10440,4,2015-02-10,86.53
10452,8,2015-02-20,140.26
10510,6,2015-04-18,367.63
10555,6,2015-06-02,252.49
10603,8,2015-07-18,48.77
10607,5,2015-07-22,200.24
10612,1,2015-07-28,544.08
10627,8,2015-08-11,107.46
10657,2,2015-09-04,352.69
10678,7,2015-09-23,388.98
10700,3,2015-10-10,65.10
10711,5,2015-10-21,52.41
10713,1,2015-10-22,167.05
10714,5,2015-10-22,24.49
10722,8,2015-10-29,74.58
10748,3,2015-11-20,232.55
10757,6,2015-11-27,8.19
10815,2,2016-01-05,14.62
10847,4,2016-01-22,487.57
10882,4,2016-02-11,23.10
10894,1,2016-02-18,116.13
10941,7,2016-03-11,400.81
10983,2,2016-03-27,657.54
10984,1,2016-03-30,211.22
11002,4,2016-04-06,141.16
11030,7,2016-04-17,830.75
11031,6,2016-04-17,227.22
11064,1,2016-05-01,30.09
